Season,DateTime,HomeTeam,AwayTeam,Full Time Home Goals,Full Time Away Goals,Full Time Result,Half Time Home Goals,Half Time Away Goals,Half Time Result,Home Team Shoots,Away Team Shoots
2020-21,2021-01-27T18:00:00Z,Chelsea,Wolves,0,0,D,0,0,D,14,4
2020-21,2021-01-27T19:30:00Z,Brighton,Fulham,0,0,D,0,0,D,16,10
2020-21,2021-01-27T20:15:00Z,Everton,Leicester,1,1,D,1,0,H,8,19
2020-21,2021-01-27T20:15:00Z,Man United,Sheffield United,1,2,A,0,1,A,16,5
2020-21,2021-01-28T20:00:00Z,Tottenham,Liverpool,1,3,A,0,1,A,3,14
2020-21,2021-01-30T12:30:00Z,Everton,Newcastle,0,2,A,0,0,D,11,13
2020-21,2021-01-30T15:00:00Z,Crystal Palace,Wolves,1,0,H,0,0,D,11,6
2020-21,2021-01-30T15:00:00Z,Man City,Sheffield United,1,0,H,1,0,H,10,4
2020-21,2021-01-30T15:00:00Z,West Brom,Fulham,2,2,D,0,1,A,5,12
2020-21,2021-01-30T17:30:00Z,Arsenal,Man United,0,0,D,0,0,D,17,14
2020-21,2021-01-30T20:00:00Z,Southampton,Aston Villa,0,1,A,0,1,A,20,8
2020-21,2021-01-31T12:00:00Z,Chelsea,Burnley,2,0,H,1,0,H,19,1
2020-21,2021-01-31T14:00:00Z,Leicester,Leeds,1,3,A,1,1,D,18,8
2020-21,2021-01-31T16:30:00Z,West Ham,Liverpool,1,3,A,0,0,D,8,14
2020-21,2021-01-31T19:15:00Z,Brighton,Tottenham,1,0,H,1,0,H,16,8
2020-21,2021-02-02T18:00:00Z,Sheffield United,West Brom,2,1,H,0,1,A,14,8
2020-21,2021-02-02T18:00:00Z,Wolves,Arsenal,2,1,H,1,1,D,11,9
2020-21,2021-02-02T20:15:00Z,Man United,Southampton,9,0,H,4,0,H,24,3
2020-21,2021-02-02T20:15:00Z,Newcastle,Crystal Palace,1,2,A,1,2,A,21,6
2020-21,2021-02-03T18:00:00Z,Burnley,Man City,0,2,A,0,2,A,2,17
2020-21,2021-02-03T18:00:00Z,Fulham,Leicester,0,2,A,0,2,A,8,9
2020-21,2021-02-03T19:30:00Z,Leeds,Everton,1,2,A,0,2,A,16,10
2020-21,2021-02-03T20:15:00Z,Aston Villa,West Ham,1,3,A,0,0,D,9,20
2020-21,2021-02-03T20:15:00Z,Liverpool,Brighton,0,1,A,0,0,D,11,13
2020-21,2021-02-04T20:00:00Z,Tottenham,Chelsea,0,1,A,0,1,A,7,18
2020-21,2021-02-06T12:30:00Z,Aston Villa,Arsenal,1,0,H,1,0,H,12,14
2020-21,2021-02-06T15:00:00Z,Burnley,Brighton,1,1,D,0,1,A,20,10
2020-21,2021-02-06T15:00:00Z,Newcastle,Southampton,3,2,H,3,1,H,6,14
2020-21,2021-02-06T17:30:00Z,Fulham,West Ham,0,0,D,0,0,D,20,8
2020-21,2021-02-06T20:00:00Z,Man United,Everton,3,3,D,2,0,H,14,6
2020-21,2021-02-07T12:00:00Z,Tottenham,West Brom,2,0,H,0,0,D,13,4
2020-21,2021-02-07T14:00:00Z,Wolves,Leicester,0,0,D,0,0,D,13,13
2020-21,2021-02-07T16:30:00Z,Liverpool,Man City,1,4,A,0,0,D,8,8
2020-21,2021-02-07T19:15:00Z,Sheffield United,Chelsea,1,2,A,0,1,A,8,9
2020-21,2021-02-08T20:00:00Z,Leeds,Crystal Palace,2,0,H,1,0,H,17,8
2020-21,2021-02-13T12:30:00Z,Leicester,Liverpool,3,1,H,0,0,D,11,15
2020-21,2021-02-13T15:00:00Z,Crystal Palace,Burnley,0,3,A,0,2,A,13,16
2020-21,2021-02-13T17:30:00Z,Man City,Tottenham,3,0,H,1,0,H,15,7
2020-21,2021-02-13T20:00:00Z,Brighton,Aston Villa,0,0,D,0,0,D,26,4
2020-21,2021-02-14T12:00:00Z,Southampton,Wolves,1,2,A,1,0,H,7,10
2020-21,2021-02-14T14:00:00Z,West Brom,Man United,1,1,D,1,1,D,7,10
2020-21,2021-02-14T16:30:00Z,Arsenal,Leeds,4,2,H,3,0,H,13,9
2020-21,2021-02-14T19:00:00Z,Everton,Fulham,0,2,A,0,0,D,7,12
2020-21,2021-02-15T18:00:00Z,West Ham,Sheffield United,3,0,H,1,0,H,13,8
2020-21,2021-02-15T20:00:00Z,Chelsea,Newcastle,2,0,H,2,0,H,18,10
2020-21,2021-02-17T18:00:00Z,Burnley,Fulham,1,1,D,0,0,D,8,8
2020-21,2021-02-17T20:15:00Z,Everton,Man City,1,3,A,1,1,D,3,16
2020-21,2021-02-19T20:00:00Z,Wolves,Leeds,1,0,H,0,0,D,15,18
2020-21,2021-02-20T12:30:00Z,Southampton,Chelsea,1,1,D,1,0,H,4,9
2020-21,2021-02-20T15:00:00Z,Burnley,West Brom,0,0,D,0,0,D,6,10
2020-21,2021-02-20T17:30:00Z,Liverpool,Everton,0,2,A,0,1,A,15,9
2020-21,2021-02-20T20:00:00Z,Fulham,Sheffield United,1,0,H,0,0,D,15,4
2020-21,2021-02-21T12:00:00Z,West Ham,Tottenham,2,1,H,1,0,H,4,20
2020-21,2021-02-21T14:05:00Z,Aston Villa,Leicester,1,2,A,0,2,A,11,16
2020-21,2021-02-21T16:30:00Z,Arsenal,Man City,0,1,A,0,1,A,7,15
2020-21,2021-02-21T19:00:00Z,Man United,Newcastle,3,1,H,1,1,D,15,10
2020-21,2021-02-22T20:00:00Z,Brighton,Crystal Palace,1,2,A,0,1,A,25,3
2020-21,2021-02-23T18:00:00Z,Leeds,Southampton,3,0,H,0,0,D,11,13
2020-21,2021-02-27T12:30:00Z,Man City,West Ham,2,1,H,1,1,D,10,9
2020-21,2021-02-27T15:00:00Z,West Brom,Brighton,1,0,H,1,0,H,6,15
2020-21,2021-02-27T17:30:00Z,Leeds,Aston Villa,0,1,A,0,1,A,13,9
2020-21,2021-02-27T20:00:00Z,Newcastle,Wolves,1,1,D,0,0,D,19,14
2020-21,2021-02-28T12:00:00Z,Crystal Palace,Fulham,0,0,D,0,0,D,3,16
2020-21,2021-02-28T12:00:00Z,Leicester,Arsenal,1,3,A,1,2,A,8,12
2020-21,2021-02-28T14:00:00Z,Tottenham,Burnley,4,0,H,3,0,H,16,10
2020-21,2021-02-28T16:30:00Z,Chelsea,Man United,0,0,D,0,0,D,18,11
2020-21,2021-02-28T19:15:00Z,Sheffield United,Liverpool,0,2,A,0,0,D,8,16
2020-21,2021-03-01T20:00:00Z,Everton,Southampton,1,0,H,1,0,H,7,9
2020-21,2021-03-02T20:00:00Z,Man City,Wolves,4,1,H,1,0,H,22,6
2020-21,2021-03-03T18:00:00Z,Burnley,Leicester,1,1,D,1,1,D,12,15
2020-21,2021-03-03T18:00:00Z,Sheffield United,Aston Villa,1,0,H,1,0,H,9,16
2020-21,2021-03-03T20:15:00Z,Crystal Palace,Man United,0,0,D,0,0,D,8,11
2020-21,2021-03-04T18:00:00Z,Fulham,Tottenham,0,1,A,0,1,A,11,9
2020-21,2021-03-04T18:00:00Z,West Brom,Everton,0,1,A,0,0,D,11,11
2020-21,2021-03-04T20:15:00Z,Liverpool,Chelsea,0,1,A,0,1,A,7,11
2020-21,2021-03-06T12:30:00Z,Burnley,Arsenal,1,1,D,1,1,D,9,15
2020-21,2021-03-06T15:00:00Z,Sheffield United,Southampton,0,2,A,0,1,A,8,15
2020-21,2021-03-06T17:30:00Z,Aston Villa,Wolves,0,0,D,0,0,D,9,10
2020-21,2021-03-06T20:00:00Z,Brighton,Leicester,1,2,A,1,0,H,7,8
2020-21,2021-03-07T12:00:00Z,West Brom,Newcastle,0,0,D,0,0,D,13,9
2020-21,2021-03-07T14:00:00Z,Liverpool,Fulham,0,1,A,0,1,A,16,10
2020-21,2021-03-07T16:30:00Z,Man City,Man United,0,2,A,0,1,A,23,8
2020-21,2021-03-07T19:15:00Z,Tottenham,Crystal Palace,4,1,H,1,1,D,12,5
2020-21,2021-03-08T18:00:00Z,Chelsea,Everton,2,0,H,1,0,H,19,7
2020-21,2021-03-08T20:00:00Z,West Ham,Leeds,2,0,H,2,0,H,16,17
2020-21,2021-03-10T18:00:00Z,Man City,Southampton,5,2,H,3,1,H,17,11
2020-21,2021-03-12T20:00:00Z,Newcastle,Aston Villa,1,1,D,0,0,D,12,15
2020-21,2021-03-13T12:30:00Z,Leeds,Chelsea,0,0,D,0,0,D,7,15
2020-21,2021-03-13T15:00:00Z,Crystal Palace,West Brom,1,0,H,1,0,H,6,12
2020-21,2021-03-13T17:30:00Z,Everton,Burnley,1,2,A,1,2,A,14,14
2020-21,2021-03-13T20:00:00Z,Fulham,Man City,0,3,A,0,0,D,3,8
2020-21,2021-03-14T12:00:00Z,Southampton,Brighton,1,2,A,1,1,D,9,8
2020-21,2021-03-14T14:00:00Z,Leicester,Sheffield United,5,0,H,1,0,H,19,1
2020-21,2021-03-14T16:30:00Z,Arsenal,Tottenham,2,1,H,1,1,D,13,6
2020-21,2021-03-14T19:15:00Z,Man United,West Ham,1,0,H,0,0,D,15,7
2020-21,2021-03-15T20:00:00Z,Wolves,Liverpool,0,1,A,0,1,A,10,12
2020-21,2021-03-19T20:00:00Z,Fulham,Leeds,1,2,A,1,1,D,13,13
